Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,1000.554016,1002.3720089999999,994.531006,1000.877014,1000.84729,4584400.0
2005-01-04,1002.271973,1019.070984,1002.271973,1018.54303,1018.5127560000001,16504000.0
2005-01-05,1016.406006,1025.383057,1013.3660279999999,1015.4310300000001,1015.4008789999999,22712700.0
2005-01-06,1014.8660279999999,1029.885986,1014.8660279999999,1029.885986,1029.8553470000002,20900900.0
2005-01-07,1034.3029789999998,1038.823975,1028.3439939999998,1032.525024,1032.494385,23479000.0
2005-01-10,1028.266968,1028.266968,1010.367004,1015.478027,1015.447876,20111600.0
2005-01-11,1013.390991,1013.888,1005.2039789999999,1011.6729740000001,1011.6429439999999,12626100.0
2005-01-12,1008.755981,1012.424011,1004.781006,1008.578003,1008.5480349999999,13260300.0
2005-01-13,1010.1160279999999,1022.276001,1010.1160279999999,1021.669983,1021.6396480000001,22352900.0
2005-01-14,1021.018982,1027.3320310000001,1017.888,1021.340027,1021.3097529999999,14367300.0
2005-01-17,1024.140991,1029.6459960000002,1022.674011,1024.88501,1024.854614,17346400.0
2005-01-18,1025.119019,1025.82605,1012.942017,1017.7260130000001,1017.695801,10809800.0
2005-01-19,1019.502014,1028.1870119999999,1019.502014,1027.810059,1027.779541,26853200.0
2005-01-20,1030.025024,1037.008057,1027.324951,1035.746948,1035.716187,19886400.0
2005-01-24,1033.230957,1033.5860599999999,1026.973999,1030.717041,1030.686401,11303900.0
2005-01-25,1029.149048,1032.484985,1023.15802,1026.892944,1026.862549,10025700.0
2005-01-26,1028.991943,1037.509033,1028.991943,1037.509033,1037.4782710000002,18297600.0
2005-01-27,1037.0939939999998,1048.462036,1037.0939939999998,1044.9880369999998,1044.9570310000001,26955100.0
2005-01-28,1046.357056,1049.126953,1042.047974,1046.483032,1046.452026,17375800.0
2005-01-31,1045.449951,1045.449951,1040.453979,1045.435059,1045.404053,16993100.0
2005-02-01,1046.1030269999999,1049.9589839999999,1045.1209720000002,1047.531982,1047.500854,17224100.0
2005-02-02,1048.5429689999999,1058.765991,1048.5429689999999,1052.824951,1052.793701,20023500.0
2005-02-03,1055.286987,1055.286987,1037.0720210000002,1049.331055,1049.299927,14266100.0
2005-02-04,1046.365967,1052.858032,1043.590942,1048.390991,1048.3598630000001,9775400.0
2005-02-07,1050.017944,1051.39502,1037.8320310000001,1041.628052,1041.597168,8718600.0
2005-02-08,1040.07605,1041.144043,1034.1469730000001,1036.6040039999998,1036.573242,12707300.0
2005-02-11,1037.401001,1045.869019,1037.401001,1045.869019,1045.838013,6447900.0
2005-02-14,1049.322998,1054.823975,1049.109985,1050.733032,1050.701782,12846600.0
2005-02-15,1052.501953,1067.649048,1051.918945,1067.199951,1067.1682130000002,20208700.0
2005-02-16,1067.7280269999999,1073.444946,1067.7280269999999,1073.444946,1073.413086,20134500.0
2005-02-17,1075.5,1087.8630369999998,1075.5,1082.9780269999999,1082.945923,33487900.0
2005-02-18,1082.329956,1092.493042,1079.692993,1092.493042,1092.460693,16121000.0
2005-02-21,1093.9160160000001,1097.70105,1087.8439939999998,1093.777954,1093.745483,24784900.0
2005-02-22,1094.373047,1100.36499,1092.255981,1099.912964,1099.8803710000002,23513200.0
2005-02-23,1094.871948,1108.9160160000001,1092.4279789999998,1102.926025,1102.893311,25017200.0
2005-02-24,1104.4160160000001,1109.4790039999998,1096.42395,1102.019043,1101.986328,16294100.0
2005-02-25,1103.61499,1105.176025,1081.073975,1083.375977,1083.3438720000001,13865700.0
2005-02-28,1081.977051,1081.977051,1066.428955,1073.8280029999999,1073.796143,12277000.0
2005-03-01,1074.25,1096.983032,1074.25,1093.2810060000002,1093.248657,18985500.0
